Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland
Areal series, starting in 1919
Last updated 01-Mar-2022 11:05
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1996   22.6   72.0   65.6   99.8  172.5  190.0  144.3  123.5  140.3   66.0   63.4   33.0   135.4   337.9   457.9   269.7  1193.1
1997   34.9   58.1   95.0  105.2  170.3  147.0  152.9  171.3  134.1   93.5   30.7   24.0   126.1   370.5   471.1   258.3  1217.0
1998   31.7   36.8   63.4  133.5  159.7  142.1  104.8  118.9  106.1   96.8   53.8   26.8    92.6   356.6   365.9   256.7  1074.5
1999   35.3   71.0  102.8  132.4  157.5  134.4  161.6  148.4  101.3   65.9   44.5   33.2   133.2   392.7   444.4   211.7  1188.4
2000   44.9   60.1   82.3  127.3  231.8  142.7  146.2  134.8   98.0   79.8   51.9   31.0   138.3   441.4   423.6   229.7  1230.9
2001   51.6   75.8  117.0  136.8  210.0  130.9  107.4  127.5   95.3   62.1   37.4   42.9   158.5   463.8   365.8   194.7  1194.6
2002   27.8   53.1  102.5  138.7  159.3  127.4  100.6  132.0  109.7   73.7   38.4   24.6   123.7   400.4   360.0   221.9  1087.8
2003   39.4   91.7  142.8  165.9  140.6  162.8  139.3  180.2  113.9  104.6   56.5   31.6   155.7   449.3   482.3   275.1  1369.3
2004   29.1   81.1  109.3  104.1  182.9  118.2  131.8  145.5  118.2   59.3   41.1   33.1   141.9   396.3   395.5   218.5  1153.7
2005   32.2   63.5   84.0  147.9  182.1  131.6  142.5  140.2   99.7   56.5   53.3   27.5   128.8   414.0   414.3   209.5  1161.0
2006   33.7   62.5   70.6  166.2  185.2  170.9  191.2  113.4  109.1   66.4   51.1   37.3   123.6   422.0   475.5   226.7  1257.6
2007   33.6   60.5  123.5  178.8  179.4  124.8  125.4  123.8   95.3   87.2   37.2   34.6   131.4   481.7   373.9   219.7  1204.0
2008   23.5   75.1  108.3  151.7  209.3  143.9  138.6   93.6   81.5   86.4   48.8   32.2   133.2   469.3   376.1   216.7  1192.8
2009   42.8   46.1  114.3  145.8  211.6  201.8  157.0  126.6  101.1   73.9   47.7   28.7   121.0   471.7   485.4   222.6  1297.2
2010   40.7   66.0   96.1  148.3  188.6  155.2  118.8  135.7  110.9   84.0   53.6   40.2   135.4   433.0   409.7   248.5  1238.2
2011   41.0   54.8   89.2  175.2  175.2  136.8  158.7   98.5   96.2   53.9   55.3   23.1   136.0   439.7   394.1   205.4  1158.2
2012   43.7   49.9  124.9  119.9  203.1  108.9   97.9  136.2  112.2   80.8   51.5   28.4   116.7   447.8   343.0   244.5  1157.3
2013   24.8   80.6   86.3  165.0  155.1  143.1  202.6  118.1  101.1   59.4   58.8   21.7   133.8   406.4   463.8   219.3  1216.5
2014   24.7   55.4  106.9  136.1  117.0  121.9  191.8  143.1   99.4   63.9   41.1   34.2   101.8   360.0   456.8   204.4  1135.4
2015   41.5   66.0  107.6  196.3  166.2  127.4  124.6  136.3  124.2   86.3   33.6   20.5   141.7   470.2   388.4   244.1  1230.7
2016   20.9   74.2  104.0  145.1  203.7  141.1  108.6  143.5   96.3   95.2   63.3   20.4   115.6   452.8   393.3   254.7  1216.2
2017   45.9   60.1  117.2  128.0  212.7  106.4  143.2  124.6   93.0   55.4   55.5   31.1   126.4   458.0   374.1   203.9  1173.0
2018   39.3   92.8   89.6  146.7  224.3  215.3  182.2  118.5  104.5   82.1   52.5   30.4   163.1   460.6   516.0   239.1  1378.2
2019   47.4   66.1   99.7  161.7  164.5  157.9  131.5  128.6  109.3   90.7   47.3   28.2   143.9   426.0   418.0   247.2  1232.9
2020   27.3   65.7  101.7  203.7  215.0  134.8  119.6  129.7  112.4   60.5   42.5   26.2   121.2   520.4   384.1   215.4  1239.0
2021   48.6   69.6   89.5  213.8  143.9  167.5  171.6  125.1   90.3   54.4   42.9   23.5   144.4   447.2   464.3   187.6  1240.8
2022   38.1   61.2                                                                         122.8                                
